"Time","Usage for esxilocal.hbmsolutions.mt","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-22T18:40:00.000Z",11.41,2146
"2026-05-22T18:45:00.000Z",11.84,2226
"2026-05-22T18:50:00.000Z",11.35,2134
"2026-05-22T18:55:00.000Z",11.07,2082
"2026-05-22T19:00:00.000Z",21.71,4081
"2026-05-22T19:05:00.000Z",15.57,2928
"2026-05-22T19:10:00.000Z",13.1,2464
"2026-05-22T19:15:00.000Z",13.25,2492
"2026-05-22T19:20:00.000Z",13.77,2590
"2026-05-22T19:25:00.000Z",11.57,2176
"2026-05-22T19:30:00.000Z",11.93,2244
"2026-05-22T19:35:00.000Z",11.48,2159
"2026-05-22T19:40:00.000Z",10.88,2046
"2026-05-22T19:45:00.000Z",12.25,2305
"2026-05-22T19:50:00.000Z",11.13,2092
"2026-05-22T19:55:00.000Z",11.07,2082
"2026-05-22T20:00:00.000Z",11.28,2122
"2026-05-22T20:05:00.000Z",13.34,2508
"2026-05-22T20:10:00.000Z",12.59,2367
"2026-05-22T20:15:00.000Z",12.33,2319
"2026-05-22T20:20:00.000Z",11.77,2213
"2026-05-22T20:25:00.000Z",11.25,2117
"2026-05-22T20:30:00.000Z",11.66,2192
"2026-05-22T20:35:00.000Z",20.35,3826
"2026-05-22T20:40:00.000Z",25.76,4845
"2026-05-22T20:45:00.000Z",19.81,3726
"2026-05-22T20:50:00.000Z",20.21,3799
"2026-05-22T20:55:00.000Z",21.4,4025
"2026-05-22T21:00:00.000Z",18.94,3561
"2026-05-22T21:05:00.000Z",21.66,4072
"2026-05-22T21:10:00.000Z",23.29,4380
"2026-05-22T21:15:00.000Z",21.31,4007
"2026-05-22T21:20:00.000Z",22.94,4315
"2026-05-22T21:25:00.000Z",20.56,3866
"2026-05-22T21:30:00.000Z",21.45,4033
"2026-05-22T21:35:00.000Z",20.08,3776
"2026-05-22T21:40:00.000Z",19.34,3636
"2026-05-22T21:45:00.000Z",22.81,4288
"2026-05-22T21:50:00.000Z",22.84,4295
"2026-05-22T21:55:00.000Z",,
"2026-05-22T22:00:00.000Z",,
"2026-05-22T22:05:00.000Z",,
